,subject,description
156,EDS build of any example fails!,"Hello,  I try to run a simple example after installation of DS-5 but it keep fails  07:41:20 **** Build of configuration Default for project Altera-SoCFPGA-HardwareLib-16550-CV-ARMCC **** make all armcc -g -O0 --diag_error=warning --diag_suppress=9931 --cpu=Cortex-A9 --no_unaligned_access -IC:/intelFPGA_pro/18.1/embedded/ds-5//../ip/altera/hps/altera_hps/hwlib/include -IC:/intelFPGA_pro/18.1/embedded/ds-5//../ip/altera/hps/altera_hps/hwlib/include/soc_cv_av -Dsoc_cv_av --strict --c99 -c hwlib.c -o hwlib.o ""hwlib.c"", line 40: Error: #5: cannot open source input file ""alt_printf.h"": No such file or directory #include <alt_printf.h> ^ hwlib.c: 0 warnings, 1 error make: *** [Makefile:89: hwlib.o] Error 1  07:41:21 Build Finished (took 432ms)   Building helloworld-baremetal succeeded, but all other armcc examples fails on similar error ""cannot open source input file "", although on searching the files they are founded in  Any idea ? ranran "
157,"I would like to know if there are any software examples for the jesd204 protocol using the HPS for Arria 10. If not, is there any forecast to be released in the alter store?",
158,SDRAM Controller bug: missed data word,"I have a project (attachment) using an open source 32-bit RISC-V processor connected in Qsys through 32-bit AXI bus and SDRAM Controller (v 18.1) to 16-bit SDRAM memory. Due to width mismatch, each AXI read request involves two access to the SDRAM memory. My problem is that on each AXI access, I receive 32-bits word consisting of two identical 16-bit sub-words. I believe there is a bug related to the signal of the automatically generated module,  which seems to be asserted one clock cycle too late:   In the enclosed screenshot from the SignalTap tool, one can see in the bottom, that first valid data word ('h5a5a) on bus is missed, and the spawns through two clock cycles of the second word ('ha5a5) eventually leading to a fake word on the AXI bus. "
159,"how to implement this equation in verilog
eqn : temp <= pon + (pon * poff)/2;
temp-11 bit vector
pon-7bit vector
poff-5bit vector","if I put this equation as it is, it is not working. can anybody help me since i am new to fpga programming my device is max ii epm240 "
160,error in DS-5 running example,"Hello,  I see several bugs in EDS DS-5:  a) trying to create new project: but pressing File-> New -> C project, nothing happens ! b) Also if I press windows->preferences->ds-5->toolchain I get window of ""problem occured"".... c) I manage to build baremetal example from the one already installed in  But on trying to build from it fails to build!    Thank you  "
161,Arria 10 HPS I2C (designware) issue?,"Hello community, I have a problem with i2c on arria 10 hps. After some time the I2C communication stops and the most curious thing is that it stops with bus free conditions. E.g. SDA and SCL are high. The problem is only with one of the slaves on the big network. The slave is Microchip PIC micro MCU. But before blaming PICmicro I want to be sure that Arria i2c works fine. For me it is not normal the bus to be free and no attempts for slaves access to be present from master side. The CPUs are not blocked and the system is running Info: Linux 4.9.76. Not always but sometimes information like this is yelled on the terminal: ----------- [ 360.815901] INFO: task kworker/0:2:914 blocked for more than 120 seconds. [ 360.822663]      Not tainted 4.9.76-rt61-ltsi-rt-csc5-AUTOINC+413d2d0a9b #1 [ 360.829680] ""echo 0 > /proc/sys/kernel/hung_task_timeout_secs"" disables this message. [ 360.837476] kworker/0:2    D   0  914     2 0x00000000 [ 360.842968] Workqueue: events set_brightness_delayed [ 360.847942] [<8079b778>] (__schedule) from [<8079ba74>] (schedule+0x60/0xfc) [ 360.854972] [<8079ba74>] (schedule) from [<8079ceb0>] (__rt_mutex_slowlock+0x88/0x15c) [ 360.862862] [<8079ceb0>] (__rt_mutex_slowlock) from [<8079d4ac>] (rt_mutex_slowlock_locked+0xd8/0x260) [ 360.872135] [<8079d4ac>] (rt_mutex_slowlock_locked) from [<8079d69c>] (rt_mutex_slowlock.constprop.8+0x68/0xa0) [ 360.882185] [<8079d69c>] (rt_mutex_slowlock.constprop.8) from [<8079d9c8>] (rt_mutex_lock_state+0x9c/0xc4) [ 360.891803] [<8079d9c8>] (rt_mutex_lock_state) from [<8079da0c>] (rt_mutex_lock+0x1c/0x20) [ 360.900037] [<8079da0c>] (rt_mutex_lock) from [<8079f764>] (_mutex_lock+0x18/0x1c) [ 360.907588] [<8079f764>] (_mutex_lock) from [<80540ae4>] (ccuss_smbus_request+0x20/0x24) [ 360.915675] [<80540ae4>] (ccuss_smbus_request) from [<804a30d8>] (__ccuss_gpio_set+0x38/0x84) [ 360.924184] [<804a30d8>] (__ccuss_gpio_set) from [<804a3374>] (ccuss_gpio_set+0x50/0x5c) [ 360.932259] [<804a3374>] (ccuss_gpio_set) from [<8049cfe4>] (_gpiod_set_raw_value+0x70/0x160) [ 360.940762] [<8049cfe4>] (_gpiod_set_raw_value) from [<8049e380>] (gpiod_set_value_cansleep+0x58/0xa0) [ 360.950045] [<8049e380>] (gpiod_set_value_cansleep) from [<8062c340>] (gpio_led_set+0x64/0x68) [ 360.958632] [<8062c340>] (gpio_led_set) from [<8062c3ac>] (gpio_led_set_blocking+0x18/0x20) [ 360.966960] [<8062c3ac>] (gpio_led_set_blocking) from [<8062aecc>] (set_brightness_delayed+0x80/0xc4) [ 360.976153] [<8062aecc>] (set_brightness_delayed) from [<8013d444>] (process_one_work+0x1f8/0x570) [ 360.985083] [<8013d444>] (process_one_work) from [<8013e118>] (worker_thread+0x68/0x614) [ 360.993149] [<8013e118>] (worker_thread) from [<80143718>] (kthread+0x118/0x120) [ 361.000525] [<80143718>] (kthread) from [<80108218>] (ret_from_fork+0x14/0x3c) [ 361.007744] INFO: task cat:29294 blocked for more than 120 seconds. [ 361.014108]      Not tainted 4.9.76-rt61-ltsi-rt-csc5-AUTOINC+413d2d0a9b #1 [ 361.021131] ""echo 0 > /proc/sys/kernel/hung_task_timeout_secs"" disables this message. [ 361.028928] cat            D   0 29294  1982 0x00000000 [ 361.034433] [<8079b778>] (__schedule) from [<8079ba74>] (schedule+0x60/0xfc) [ 361.041465] [<8079ba74>] (schedule) from [<8079de7c>] (schedule_timeout+0x90/0x34c) [ 361.049098] [<8079de7c>] (schedule_timeout) from [<8018b3e4>] (msleep+0x3c/0x48) [ 361.056478] [<8018b3e4>] (msleep) from [<80540be8>] (ccuss_smbus_read_word_data+0x3c/0x4c) [ 361.064727] [<80540be8>] (ccuss_smbus_read_word_data) from [<8064a848>] (ccuss_iio_read_raw+0x40/0x7c) [ 361.074003] [<8064a848>] (ccuss_iio_read_raw) from [<80646e70>] (iio_read_channel_info+0x98/0x9c) [ 361.082854] [<80646e70>] (iio_read_channel_info) from [<80518750>] (dev_attr_show+0x2c/0x58) [ 361.091266] [<80518750>] (dev_attr_show) from [<802c19cc>] (sysfs_kf_seq_show+0x98/0x100) [ 361.099420] [<802c19cc>] (sysfs_kf_seq_show) from [<802c02b8>] (kernfs_seq_show+0x34/0x38) [ 361.107665] [<802c02b8>] (kernfs_seq_show) from [<802767b8>] (seq_read+0xbc/0x4ec) [ 361.115855] [<802767b8>] (seq_read) from [<802c1118>] (kernfs_fop_read+0x148/0x1dc) [ 361.123791] [<802c1118>] (kernfs_fop_read) from [<80250150>] (do_readv_writev+0x310/0x3e0) [ 361.132035] [<80250150>] (do_readv_writev) from [<80250270>] (vfs_readv+0x50/0x68) [ 361.139580] [<80250270>] (vfs_readv) from [<80283034>] (default_file_splice_read+0x180/0x294) [ 361.148077] [<80283034>] (default_file_splice_read) from [<80282b84>] (do_splice_to+0x8c/0xa0) [ 361.156658] [<80282b84>] (do_splice_to) from [<80282c4c>] (splice_direct_to_actor+0xb4/0x25c) [ 361.165154] [<80282c4c>] (splice_direct_to_actor) from [<80282e8c>] (do_splice_direct+0x98/0xc0) [ 361.173909] [<80282e8c>] (do_splice_direct) from [<80250754>] (do_sendfile+0x1b4/0x334) [ 361.181887] [<80250754>] (do_sendfile) from [<802512f0>] (SyS_sendfile64+0x11c/0x148) [ 361.189694] [<802512f0>] (SyS_sendfile64) from [<80108140>] (ret_fast_syscall+0x0/0x50) -------- And after some debugging the issue appears only when STOP_DET and TX_ABORT interrupt appear simultaniously. Any suggestions?  "
162,"How to convert Prime 18.1 ""Pro"" IP to ""Standard"" IP ?","I used Intel HLS (v18.1) to generate some IP, using the Prime ""Pro"" version.  Unfortunately, my top level design (where I would like to put the IP) is in ""standard"" version.  Is there a way to convert the 18.1 ""Pro"" version IP to ""Standard"" version IP so I can use it in my ""Standard"" design?  I am having problems using HLS in ""Standard"" version, due to the C++ library versions it requires, so it won't be easy for me to just regenerate the IP in HLS ""Standard"" version.  (I can't get that to work.) "
163,​UEFI QSPI Boot Code loads mkimage header to FPGA and omits last 64 bytes of RBF image," I have created the UEFI boot code from the directions in the Intel Arria 10 SoC UEFI Boot Loader User Guide - UG-20100 | 2017.12.15. This boot code processes the Core RBF file with a prepended 64-byte mkimage header at 0x00820000. The LoadCoreRbfImageToRam function loads the RBF image from location 0x00820000 to DDR, and this is then loaded into the FPGA, using the RbfSize that was read from the mkimage header. Therefore the MkImage header is included in what is loaded into the FPGA and the 64-bytes at the end of the RBF file is not. Can anyone please confirm that this is not correct behaviour ? Strangely, the FPGA appears to operate OK when loaded with this mechanism using the golden reference design. However, it also operates OK when I change the behaviour to skip the mkimage header and only load the actual RBF file data. The NAND implementation appears to do the same. "
164,Is it possible to reach nearby CLBs optimally fast while using openCL?,"Hi, I am working on a research project to deepen my knowledge in parallell computing, and I have just scratched the surface of FPGA technology. To the best of my knowledge opencl is compatible with FPGAs. I would like to have my openCL kernels reach information locally which is stored in other CLBs nearby. The problem with this is I don't see any possibility to do that iteratively. Correct me if I'm wrong but the only option openCL gives to reaching local kernel-related information is through the local memory space. The only problem with that is that local memory access is restricted to user defined local workgroups. Local workgroups can be defined in such a way that the user is able to define sections in the board, whom have a common memory allocation space.  That kind of logic would not fit the purpose of my project, however in FPGA architecture there is such a thing as local addressing ( neighbouring CLBs, rows and lines ). A CLB is able to have input from a nearby CLB through the addressing system optimally, becuase the device is wired in a way which makes this possible. Is there any way openCL is able to use this capability of FPGAs?  Thank you for any help in advance! "
165,could not create the verilog  HDL file,"i am using the altera 5CGXFC7C62317N , when try to create the verilog HDL file quartus showing some error like(Error (275069): Design file contains illegal characters for Verilog HDL) i dont know what to do .  please let me know if u have solution   "
166,how to access f2h sdram through hps, 在使用hps调用tse ip核中，根据 的tse示例工程。通过两个scatter-Gather DMA（master）与HPS中的f2h sdram（slave）进行tse的数据通信。  问题是：我如何通过上位机直接访问这个f2h sdram的内部数据，f2h sdram的寻址空间为0x00000000~0xffffffff，master为DMA，我不是很清楚是否能通过hps直接访问到sdram内部的数据（寻址空间是重复的），从而通过tse发送数据。  上位机并不是linux操作系统的，无法验证demo中的上位机程序，硬件工程师只能通过hps直接控制地址​的方式来进行操作      
167,How to fix error on TeamCity with SoC EDS 18.1: Toolchain required to build project is not registered: Altera Baremetal GCC (with eclipse console executable: eclipsec.exe),"Note: This problem was also posted on an old thread that does no longer get attention.  We use an application called TeamCity for continuous integration. When developers check-in their changes, TeamCity will rebuild the software on an agent (that runs on a virtual machine with Windows Server 2016). I installed the following software on a TeamCity agent:  By default the TeamCity service runs with the SYSTEM account. I already detected some problems with Altera tooling and the SYSTEM account and decided to create a separate local account ""svc_teamcity"". I added this account to the administrators group and granted it permission to logon as a service (SeServiceLogonRight). I used this account to install the software (Nios II EDS and SoC EDS).  Next step is to configure the ""Altera Baremetal GCC"". First I did this manually with add_toolchain.exe and ds5_link.exe based on the info on:  As this did not help I decided to create a script that could be run as a post-install by TeamCity. In this way it would run in the same environment as a software build.  This is the script: This scripts runs successful on TeamCity, see output: When I run a software build configuration with the console executer of Eclipse (eclipsec.exe) I get the following error: How can this be solved?  "
168,SGDMA or mSGDMA simulation,"Hi All,  I am new to intel altera tools and having a hard time figuring out things. I want to know if there is a simulation model available for the SGDMA or the mSGDMA controller. Are there any example designs that i can simulate? I found some resources in the altera wiki website, but that seems to be using hardware that i dont have access to.  TIY  Regards SKa "
169,今後、インテル製プロセッサ(ATOM等)を実装したSOCシリーズのリリース予定等はありますか？,
170,How to create a design with DDR3 memory?,"Hi everybody, I'm developer FPGA's design but right now I wanna learn to develop designs with DDR3 SDRAM Memory.  Does anyone know where I can get started? "
171,How close is Intel is developing software development tools for embedded ARM processors that are as easy to use?,"Hello, I have a question but would like to give a brief introduction. My co-worker and I were discussing a new hardware design that would be an upgrade to an existing board. We decided on a DSP processor and the FPGA. We started talking about the design and said we could do things a lot faster if we put the software that is supposed to run on the DSP processor put it on the FPGA with embedded ARM cores. Everything done on a single device, how great it is. But, then we started talking about the complexities of programming the embedded ARM cores. We know of another co-worker that is using a Cyclone FPGA with embedded ARM cores and how long it has taken him to learn the tools and his comments on the development tools. We started talking that if a company could develop a suit to tools that would make it possible for the Hardware Designer to hand-off the board to the Software Development folks or End user and the tools would be so simple that they could compile their C/C++ code, debug their code in-ciruit, and program the code into the device all without bugging the Hardware Designer, wow! That would be the ultimate! Here's my question, has Intel reached that point in their tools for FPGA's with embedded ARM cores? "
172,How to connect2 Avalon MM masters to 1 MM slave,I am going to be using the EMIF IP to connect to a DDR4 memory. I have 2 MM masters trying to access the memory. I am trying to come up with a design in Qsys and cannot understand how to go about this. Essentially i am looking for something like an AXI interconnect in vivado where i could have 2 slave ports in and 1 master port out of the interconnect. But i guess in quartus the interconnect is used by default. How do i connect both my entities to the EMIF IP? 
173,What is the software development IDE for the Xeon Scalable Processors?,"Hello, I'm very interested in the Xeon Scalable Processors can anyone please tell me what software tools I will need to develop the software for the Xeon side and the FPGA side? Is this the best forum category to ask questions about this processor?  Thank you Joe "
174,Problem in configuring busybox (for generating root file system for DE10 Nano embedded linux) as per step 7.2 of this tutorial - https://bitlog.it/hardware/building-embedded-linux-for-the-terasic-de10-nano-and-other-cyclone-v-soc-fpgas/,"Hello everyone, I am trying to implement the tutorial on the above website for the DE10 Nano board. I am implementing it on Ubuntu 16.04. However, I am getting an error in step 7.2. When I run the command as given in the tutorial i.e. ( make -C buildroot busybox-menuconfig ) the busy box settings open up as shown in the image in step7.2 of the tutorial. Then when I save the default settings as mentioned in the tutorial , the settings get closed and at the end of the terminal I get the following error message as shown below ( Error message - No such file or directory)  Can anyone please help me solve this error ? Any help is appreciated Thanks and Regards Hrishikesh "
175,UART interrupt using alt_ic_isr_register,"I am trying to write a simple interrupt service routine for UART. MY code is as follows: in main function: alt_ic_isr_register(UART_0_IRQ_INTERRUPT_CONTROLLER_ID, UART_0_IRQ, &receive_data, uart_capture_ptr, 0x0);   ISR function static void receive_data(void* context) { // put new char into buffer from UART volatile int *uart_capture_ptr = (volatile int*) context; // Store the value in the Buttons edge capture register in *context. *uart_capture_ptr = IORD_8DIRECT(UART_0_BASE, 0x0); // Reset the Buttons edge capture register. IOWR_16DIRECT(PIO_0_BASE, 0, (alt_16)uart_capture_ptr);  }  The program builds but seems to terminate upon the initialisation of the isr (i.e whilst executing the alt_ic_isr_register function). Does anyone know why this is the case and how I should fix it? "
176,What Software Development IDEs do I need to development for the Xeon Scalable Processors?,"Hello, for the Xeon Scalable processors what FPGA software and Xeon software must I use? I image for the FPGA side I would use Quartus Prime Pro, but simulator should I use? For the Xeon processor side I don't know what to use?  Thanks, Joe "
177,Problem in getting and compiling u-boot for cycone V soc fpga DE10 Nano as per step 3.2 of this tutorial - https://bitlog.it/hardware/building-embedded-linux-for-the-terasic-de10-nano-and-other-cyclone-v-soc-fpgas/  using SoC EDS command shell on windows,"Hello everyone, I am trying to implement the tutorial on this website ) for DE10 Nano board. I am trying to implement the tutorial on Windows. However, I am getting an error in step 3.2 in the make mrproper command which was executed in SoC EDS command shell for windows. The error is as follows $ make mrproper process_begin: CreateProcess(NULL, /cygdrive/d/Engineering/BTech_Project/Implementation/DE10/DE10-Nano_v.1.3.4_HWrevC_SystemCD/Demonstrations/SoC_FPGA/DE10_NANO_SoC_GHRD/software/gcc-linaro-6.3.1-2017.05-x86_64_arm-linux-gnueabihf/bin/arm-linux-gnueabihf-gcc -print-file-name=include, …) failed. rm: cannot remove ‘SPL’: Is a directory make: *** [clobber] Error 1 Can anyone please help me solve this error ? Any help is appreciated Thanks and Regards Hrishikesh  "
178,Memory Tests for Arria 10 FPGA,"Hi, I was wondering if there are any specific memory tests that can be run on the Arria 10 FPGA. I am using an EMIF IP to connect to the external DDR component and want to make sure if all the parameters in the EMIF IP are right and I am able to access the DDR.  I did find the following link   But it says its for stratix and cyclone devices. Any Suggestions?  Regards, Karthik  "
179,How to access files on the SD Card from a bare metal application?,"Hello;  I am currently writing a C program, in a bare metal approach (I need bare metal due performance restrictions), currently I am able to transfer data from the C program to the FPGA . The board that I'm using the Altera Cyclone V DE1 - SoC.  Next step, is to access a file on the SD Card from the HPS and then transfer that information to the FPGA. However, I can't find any documentation or examples to do this process. Do I need to write a SD Card driver from scratch? Is there any example available?  EDIT: what i need is a way to access files that are stored on the SD card from the bare metal C code.  Thanks in advance. "
180,bsp-create-settings --type spl error,"i have installed SoC EDS 17.0 on Ubuntu 14.04.5 LTS x64, but path for bsp-create-settings was not set in envirment variable "
